user_a,user_b,story_id_jaccard,headline_jaccard,shared_story_ids,shared_headlines
U100950,U766404,0.0,0.0,0,0
U100950,U767566,0.0,0.0,0,0
U100950,U76768,0.0,0.0,0,0
U100950,U770272,0.0,0.0,0,0
U100950,U773744,0.0,0.0,0,0
U100950,U774345,0.0,0.0,0,0
U100950,U775163,0.0,0.0,0,0
U100950,U777965,0.0,0.0,0,0
U100950,U778865,0.0,0.0,0,0
U100950,U779594,0.0,0.0,0,0
U100950,U783524,0.0,0.0,0,0
U100950,U783653,0.0,0.0,0,0
U100950,U783662,0.0,0.0,0,0
U100950,U784207,0.0,0.0,0,0
U100950,U784864,0.0,0.0,0,0
U100950,U78694,0.0,0.0,0,0
U100950,U788355,0.0,0.0,0,0
U100950,U789048,0.0,0.0,0,0
U100950,U789993,0.0,0.0,0,0
U100950,U790642,0.0,0.0,0,0
U100950,U790688,0.0,0.0,0,0
U100950,U791077,0.0,0.0,0,0
U100950,U794953,0.0,0.0,0,0
U100950,U795897,0.0,0.0,0,0
U100950,U796594,0.0,0.0,0,0
U100950,U797523,0.0,0.0,0,0
U100950,U797976,0.0,0.0,0,0
U100950,U798787,0.0,0.0,0,0
U100950,U799213,0.0,0.0,0,0
U100950,U79975,0.0,0.0,0,0
U100950,U800597,0.0,0.0,0,0
U100950,U800946,0.0,0.0,0,0
U100950,U803605,0.0,0.0,0,0
U100950,U803628,0.0,0.0,0,0
U100950,U803858,0.0,0.0,0,0
U100950,U80866,0.0,0.0,0,0
U100950,U809173,0.0,0.0,0,0
U100950,U809335,0.0,0.0,0,0
U100950,U809402,0.0,0.0,0,0
U100950,U812033,0.0,0.0,0,0
U100950,U81314,0.5384615384615384,0.5714285714285714,7,4
U100950,U813843,0.0,0.0,0,0
U100950,U816531,0.0,0.0,0,0
U100950,U819004,0.0,0.0,0,0
U100950,U824320,0.0,0.0,0,0
U100950,U824606,0.0,0.0,0,0
U100950,U82607,0.6666666666666666,0.6666666666666666,8,4
U100950,U826702,0.0,0.0,0,0
U100950,U827671,0.0,0.0,0,0
U100950,U827904,0.0,0.0,0,0
U100950,U828594,0.0,0.0,0,0
U100950,U831692,0.0,0.0,0,0
U100950,U834061,0.0,0.0,0,0
U100950,U834114,0.0,0.0,0,0
U100950,U834896,0.0,0.0,0,0
U100950,U838262,0.0,0.0,0,0
U100950,U838650,0.0,0.0,0,0
U100950,U839530,0.0,0.0,0,0
U100950,U840738,0.0,0.0,0,0
U100950,U841547,0.0,0.0,0,0
U100950,U841959,0.0,0.0,0,0
U100950,U842709,0.0,0.0,0,0
U100950,U843594,0.0,0.0,0,0
U100950,U84431,0.0,0.0,0,0
U100950,U845156,0.0,0.0,0,0
U100950,U845585,0.0,0.0,0,0
U100950,U846324,0.0,0.0,0,0
U100950,U847003,0.0,0.0,0,0
U100950,U847646,0.0,0.0,0,0
U100950,U849603,0.0,0.0,0,0
U100950,U849623,0.0,0.0,0,0
U100950,U85052,0.0,0.0,0,0
U100950,U853677,0.0,0.0,0,0
U100950,U85448,0.0,0.0,0,0
U100950,U859098,0.0,0.0,0,0
U100950,U860021,0.0,0.0,0,0
U100950,U865528,0.0,0.0,0,0
U100950,U870118,0.0,0.0,0,0
U100950,U870759,0.0,0.0,0,0
U100950,U870930,0.0,0.0,0,0
U100950,U871154,0.0,0.0,0,0
U100950,U872223,0.0,0.0,0,0
U100950,U873112,0.0,0.0,0,0
U100950,U874290,0.0,0.0,0,0
U100950,U875689,0.0,0.0,0,0
U100950,U88151,0.0,0.0,0,0
U100950,U883,0.0,0.0,0,0
U100950,U89081,0.0,0.0,0,0
U100950,U90023,0.0,0.0,0,0
U100950,U91311,0.0,0.0,0,0
U100950,U91438,0.0,0.0,0,0
U100950,U91541,0.0,0.0,0,0
U100950,U94699,0.0,0.0,0,0
U100950,U96689,0.6666666666666666,0.6666666666666666,8,4
U100950,U96792,0.0,0.0,0,0
U100950,U97081,0.0,0.0,0,0
U100950,U97122,0.0,0.0,0,0
U100950,U97170,0.0,0.0,0,0
U100950,U99471,0.0,0.0,0,0
U106375,U107331,0.0,0.0,0,0
U106375,U108413,0.0,0.0,0,0
U106375,U110273,0.0,0.0,0,0
U106375,U11207,0.0,0.0,0,0
U106375,U115316,0.0,0.0,0,0
U106375,U117194,0.0,0.0,0,0
U106375,U117215,0.0,0.0,0,0
U106375,U11740,0.0,0.0,0,0
U106375,U118925,0.0,0.0,0,0
U106375,U122403,0.0,0.0,0,0
U106375,U123273,0.0,0.0,0,0
U106375,U126526,0.0,0.0,0,0
U106375,U127547,0.0,0.0,0,0
U106375,U128128,0.8181818181818182,0.8888888888888888,9,8
U106375,U13226,0.8181818181818182,0.8888888888888888,9,8
U106375,U132358,0.0,0.0,0,0
U106375,U135776,0.05263157894736842,0.07692307692307693,1,1
U106375,U137585,0.0,0.0,0,0
U106375,U140612,0.0,0.0,0,0
U106375,U141959,0.0,0.0,0,0
U106375,U143202,0.0,0.0,0,0
U106375,U146809,0.0,0.0,0,0
U106375,U154294,0.0,0.0,0,0
U106375,U155936,0.0,0.0,0,0
U106375,U156768,0.0,0.0,0,0
U106375,U159647,0.0,0.0,0,0
U106375,U160429,0.0,0.0,0,0
U106375,U16400,0.0,0.0,0,0
U106375,U167606,0.0,0.0,0,0
U106375,U167609,0.0,0.0,0,0
U106375,U168825,0.5384615384615384,0.5454545454545454,7,6
U106375,U169039,0.0,0.0,0,0
U106375,U170818,0.0,0.0,0,0
U106375,U173902,0.1111111111111111,0.14285714285714285,2,2
U106375,U178408,0.05263157894736842,0.06666666666666667,1,1
U106375,U17841,0.0,0.0,0,0
U106375,U179431,0.0,0.0,0,0
U106375,U180025,0.0,0.0,0,0
